t,f,Q,R_over_D,abs_residual
-0.7200000000000002,-0.14953400693056243,-0.1496,6.599306943758099e-05,6.599306943758099e-05
-0.7050000000000001,-0.14680944497758586,-0.1469,9.055502241414604e-05,9.055502241414604e-05
-0.69,-0.14407988369138208,-0.1442,0.00012011630861791245,0.00012011630861791245
-0.6749999999999998,-0.14134507921982686,-0.14149999999999996,0.00015492078017309563,0.00015492078017309563
-0.6600000000000001,-0.13860485514554594,-0.1388,0.00019514485445407126,0.00019514485445407126
-0.645,-0.13585910193446565,-0.1361,0.00024089806553434512,0.00024089806553434512
-0.6299999999999999,-0.13310777523569647,-0.13339999999999996,0.0002922247643034892,0.0002922247643034892
-0.6150000000000002,-0.13035089324248145,-0.13070000000000004,0.0003491067575185913,0.0003491067575185913
-0.6000000000000001,-0.12758853332661355,-0.128,0.0004114666733864569,0.0004114666733864569
-0.585,-0.124820828150167,-0.1253,0.0004791718498329961,0.0004791718498329961
-0.5699999999999998,-0.12204796144130757,-0.12259999999999997,0.0005520385586924026,0.0005520385586924026
-0.5550000000000002,-0.11927016359807262,-0.11990000000000003,0.0006298364019274166,0.0006298364019274166
-0.54,-0.1164877072578582,-0.11720000000000001,0.0007122927421418096,0.0007122927421418096
-0.5249999999999999,-0.11370090294308449,-0.11449999999999999,0.0007990970569154987,0.0007990970569154987
-0.5099999999999998,-0.11091009486683864,-0.11179999999999997,0.0008899051331613256,0.0008899051331613256
-0.4950000000000001,-0.10811565695749561,-0.10910000000000002,0.0009843430425044014,0.0009843430425044014
-0.48,-0.10531798913921583,-0.1064,0.0010820108607841605,0.0010820108607841605
-0.46499999999999986,-0.10251751388629114,-0.10369999999999997,0.0011824861137088305,0.0011824861137088305
-0.4500000000000002,-0.09971467305371348,-0.10100000000000003,0.0012853269462865524,0.0012853269462865524
-0.43500000000000005,-0.09690992497402548,-0.09830000000000001,0.0013900750259745326,0.0013900750259745326
-0.41999999999999993,-0.09410374180125014,-0.09559999999999999,0.0014962581987498502,0.0014962581987498502
-0.4049999999999998,-0.09129660707617607,-0.09289999999999997,0.0016033929238239014,0.0016033929238239014
-0.3900000000000001,-0.0884890134831314,-0.09020000000000003,0.001710986516868629,0.001710986516868629
-0.375,-0.0856814607662255,-0.08750000000000001,0.0018185392337745077,0.0018185392337745077
-0.3599999999999999,-0.08287445377251511,-0.08479999999999997,0.0019255462274848645,0.0019255462274848645
-0.3450000000000002,-0.08006850059030621,-0.08210000000000003,0.0020314994096938266,0.0020314994096938266
-0.33000000000000007,-0.07726411075254844,-0.07940000000000001,0.002135889247451575,0.002135889247451575
-0.31499999999999995,-0.07446179347774122,-0.07669999999999999,0.0022382065222587705,0.0022382065222587705
-0.2999999999999998,-0.07166205592373157,-0.07399999999999997,0.002337944076268403,0.002337944076268403
-0.28500000000000014,-0.06886540143306757,-0.07130000000000003,0.0024345985669324555,0.0024345985669324555
-0.27,-0.06607232775201835,-0.06860000000000001,0.0025276722479816577,0.0025276722479816577
-0.2549999999999999,-0.0632833252088704,-0.06589999999999999,0.0026166747911295918,0.0026166747911295918
-0.2400000000000002,-0.06049887484055655,-0.06320000000000003,0.002701125159443485,0.002701125159443485
-0.2250000000000001,-0.05771944645999851,-0.06050000000000001,0.0027805535400015,0.0027805535400015
-0.20999999999999996,-0.05494549665967886,-0.05779999999999999,0.0028545033403211337,0.0028545033403211337
-0.19499999999999984,-0.05217746674985372,-0.05509999999999997,0.002922533250146249,0.002922533250146249
-0.18000000000000016,-0.04941578063243762,-0.05240000000000003,0.0029842193675624074,0.0029842193675624074
-0.16500000000000004,-0.04666084261389715,-0.04970000000000001,0.0030391573861028587,0.0030391573861028587
-0.1499999999999999,-0.043913035162458834,-0.046999999999999986,0.003086964837541152,0.003086964837541152
-0.1349999999999998,-0.04117271661654149,-0.044299999999999964,0.003127283383458475,0.003127283383458475
-0.1200000000000001,-0.03844021885255596,-0.04160000000000002,0.0031597811474440574,0.0031597811474440574
-0.10499999999999998,-0.035715844921056714,-0.0389,0.0031841550789432835,0.0031841550789432835
-0.08999999999999986,-0.03299986666068203,-0.036199999999999975,0.0032001333393179426,0.0032001333393179426
-0.07500000000000018,-0.03029252229937777,-0.03350000000000003,0.0032074777006222584,0.0032074777006222584
-0.06000000000000005,-0.02759401405207849,-0.030800000000000008,0.003205985947921517,0.003205985947921517
-0.04499999999999993,-0.024904505723331496,-0.028099999999999986,0.0031954942766684903,0.0031954942766684903
-0.029999999999999805,-0.022224120322315178,-0.025399999999999964,0.0031758796776847863,0.0031758796776847863
-0.015000000000000124,-0.01955293769636399,-0.022700000000000022,0.003147062303636032,0.003147062303636032
0.0,-0.0168909921875,-0.02,0.0031090078125000017,0.0031090078125000017
0.015000000000000124,-0.014238270314644226,-0.01729999999999998,0.003061729685355752,0.003061729685355752
0.029999999999999805,-0.01159470848219089,-0.014600000000000037,0.0030052915178091465,0.0030052915178091465
0.04499999999999993,-0.008960190713552123,-0.011900000000000013,0.0029398092864478895,0.0029398092864478895
0.06000000000000005,-0.006334546406190592,-0.009199999999999991,0.002865453593809399,0.002865453593809399
0.07500000000000018,-0.0037175481026385008,-0.006499999999999969,0.0027824518973614686,0.0027824518973614686
0.08999999999999986,-0.001108909270155974,-0.0038000000000000256,0.0026910907298440517,0.0026910907298440517
0.10499999999999998,0.0014917179198969868,-0.0011000000000000038,0.0025917179198969905,0.0025917179198969905
0.1200000000000001,0.004084744823091737,0.001600000000000018,0.0024847448230917186,0.0024847448230917186
0.1349999999999998,0.006670648574174497,0.00429999999999996,0.0023706485741745373,0.0023706485741745373
0.1499999999999999,0.009249974371385665,0.006999999999999982,0.0022499743713856827,0.0022499743713856827
0.16500000000000004,0.01182333780300376,0.009700000000000004,0.0021233378030037567,0.0021233378030037567
