shape,family,n,reference_n,true_conformal_offset,monitor_h,bgk_beta,bgk_shift,correction_order,reference_value,raw_discrete_value,corrected_value,rel_error
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,3.814697265625e-06,0.5825971579390108,0.0011378850740996304,1,15.456635336324847,15.476843947304168,15.456647409187259,7.810795912836221e-07
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,3.814697265625e-06,0.5825971579390108,0.0011378850740996304,2,15.456635336324847,15.476843947304168,15.45663534440253,5.226029046491968e-10
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,3.814697265625e-06,0.5825971579390108,0.0011378850740996304,4,15.456635336324847,15.476843947304168,15.456635336324744,6.665661345007306e-15
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,3.814697265625e-06,0.5825971579390108,0.0011378850740996304,8,15.456635336324847,15.476843947304168,15.456635336324753,6.091035366989434e-15
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,3.814697265625e-06,0.5825971579390108,0.0011378850740996304,16,15.456635336324847,15.476843947304168,15.456635336324753,6.091035366989434e-15
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,9.5367431640625e-07,0.5825971579390108,0.0005689425370498152,0,15.456635336324847,15.466742661039932,15.466742661039932,0.0006539149365406406
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,9.5367431640625e-07,0.5825971579390108,0.0005689425370498152,1,15.456635336324847,15.466742661039932,15.456638356560243,1.95400572595165e-07
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,9.5367431640625e-07,0.5825971579390108,0.0005689425370498152,2,15.456635336324847,15.466742661039932,15.456635337334895,6.534715577136593e-11
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,9.5367431640625e-07,0.5825971579390108,0.0005689425370498152,4,15.456635336324847,15.466742661039932,15.456635336324727,7.814913301043048e-15
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,9.5367431640625e-07,0.5825971579390108,0.0005689425370498152,8,15.456635336324847,15.466742661039932,15.456635336324727,7.814913301043048e-15
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,9.5367431640625e-07,0.5825971579390108,0.0005689425370498152,16,15.456635336324847,15.466742661039932,15.456635336324727,7.814913301043048e-15
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,2.384185791015625e-07,0.5825971579390108,0.0002844712685249076,0,15.456635336324847,15.461689753867526,15.461689753867526,0.0003270063265839322
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,2.384185791015625e-07,0.5825971579390108,0.0002844712685249076,1,15.456635336324847,15.461689753867526,15.456636091636213,4.886648025377838e-08
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,2.384185791015625e-07,0.5825971579390108,0.0002844712685249076,2,15.456635336324847,15.461689753867526,15.456635336451063,8.165779923220759e-12
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,2.384185791015625e-07,0.5825971579390108,0.0002844712685249076,4,15.456635336324847,15.461689753867526,15.456635336324766,5.2865589977644146e-15
golden_ellipse,closed-form Joukowski ellipse,2048,32768,0.001,2.384185791015625e-07,0.5825971579390108,0.0002844712685249076,8,15.456635336324847,15.461689753867526,15.456635336324766,5.2865589977644146e-15
