shape,family,n,operation,ms,build_ms,work_units_reported,fft_work_units_estimate,generated_q_residual,dense_q_matrix_stored
three_petal,smooth_nonconvex,4096,pde_heat,8.154666051268578,44.71591697074473,4096,49152,5.954635734045134e-14,False
three_petal,smooth_nonconvex,4096,pde_poisson,8.107292000204325,44.71591697074473,4096,49152,5.947206160698825e-14,False
three_petal,smooth_nonconvex,4096,pde_helmholtz,8.110541966743767,44.71591697074473,4096,49152,5.949982945127085e-14,False
three_petal,smooth_nonconvex,4096,pde_wave,8.305624942295253,44.71591697074473,4096,49152,5.963420112697772e-14,False
three_petal,smooth_nonconvex,4096,q_bgk4,23.86387495789677,0.0,49152,49152,9.336692469104582e-16,False
three_petal,smooth_nonconvex,4096,pde_batch_all5,41.07454197946936,44.71591697074473,20480,245760,3.575680668091752e-12,False
four_lobed_wiggle,smooth_multiscale,256,pde_laplace_dtn,0.47745893243700266,4.487458965741098,256,2048,2.77408313144351e-14,False
four_lobed_wiggle,smooth_multiscale,256,pde_heat,0.4455000162124634,4.487458965741098,256,2048,6.535229694528463e-15,False
four_lobed_wiggle,smooth_multiscale,256,pde_poisson,0.4372090334072709,4.487458965741098,256,2048,6.5567993742798864e-15,False
four_lobed_wiggle,smooth_multiscale,256,pde_helmholtz,0.44408300891518593,4.487458965741098,256,2048,6.5746063977243655e-15,False
four_lobed_wiggle,smooth_multiscale,256,pde_wave,0.4407089436426759,4.487458965741098,256,2048,6.517710887362198e-15,False
four_lobed_wiggle,smooth_multiscale,256,q_bgk4,4.077624995261431,0.0,2048,2048,1.408427593075908e-09,False
four_lobed_wiggle,smooth_multiscale,256,pde_batch_all5,2.2449599346145988,4.487458965741098,1280,10240,2.77408313144351e-14,False
four_lobed_wiggle,smooth_multiscale,512,pde_laplace_dtn,0.9269999573007226,8.167208987288177,512,4608,6.917551267313903e-14,False
four_lobed_wiggle,smooth_multiscale,512,pde_heat,0.9047080529853702,8.167208987288177,512,4608,1.2387223989318853e-14,False
four_lobed_wiggle,smooth_multiscale,512,pde_poisson,0.8887919830158353,8.167208987288177,512,4608,1.2282178312589265e-14,False
four_lobed_wiggle,smooth_multiscale,512,pde_helmholtz,0.895833014510572,8.167208987288177,512,4608,1.2378406212799454e-14,False
four_lobed_wiggle,smooth_multiscale,512,pde_wave,0.8988339686766267,8.167208987288177,512,4608,1.2490605523502077e-14,False
four_lobed_wiggle,smooth_multiscale,512,q_bgk4,8.154334034770727,0.0,4608,4608,3.3308398953158042e-15,False
four_lobed_wiggle,smooth_multiscale,512,pde_batch_all5,4.515166976489127,8.167208987288177,2560,23040,6.917551267313903e-14,False
four_lobed_wiggle,smooth_multiscale,1024,pde_laplace_dtn,1.8867920152842999,16.381375025957823,1024,10240,2.160813165005054e-13,False
four_lobed_wiggle,smooth_multiscale,1024,pde_heat,1.8534590490162373,16.381375025957823,1024,10240,2.3347882234590553e-14,False
four_lobed_wiggle,smooth_multiscale,1024,pde_poisson,1.822417019866407,16.381375025957823,1024,10240,2.330766330806144e-14,False
four_lobed_wiggle,smooth_multiscale,1024,pde_helmholtz,1.8364170100539923,16.381375025957823,1024,10240,2.3317520601272852e-14,False
four_lobed_wiggle,smooth_multiscale,1024,pde_wave,1.873166998848319,16.381375025957823,1024,10240,2.3377741542790605e-14,False
four_lobed_wiggle,smooth_multiscale,1024,q_bgk4,16.387165989726782,0.0,10240,10240,8.765368145567906e-16,False
four_lobed_wiggle,smooth_multiscale,1024,pde_batch_all5,9.272252093069255,16.381375025957823,5120,51200,2.160813165005054e-13,False
four_lobed_wiggle,smooth_multiscale,2048,pde_laplace_dtn,3.956875065341592,33.07104203850031,2048,22528,5.698439543253525e-13,False
four_lobed_wiggle,smooth_multiscale,2048,pde_heat,4.059917060658336,33.07104203850031,2048,22528,4.361495888494168e-15,False
