shape,branch,rank,eigenvalue,log10_eigenvalue,sample_count,requested_lanczos_steps
rational_asymptote_chart,low_nonzero,2,1248.7068445344833,3.096460492221506,256,124
rational_asymptote_chart,low_nonzero,3,2487.536509349643,3.3957694635655944,256,124
rational_asymptote_chart,low_nonzero,4,2487.623246567382,3.3957846065949204,256,124
rational_asymptote_chart,low_nonzero,5,3716.5955158619845,3.5701452985754676,256,124
rational_asymptote_chart,low_nonzero,6,3716.7276755326448,3.57016074152453,256,124
rational_asymptote_chart,low_nonzero,7,4935.880450363757,3.693364632310418,256,124
rational_asymptote_chart,low_nonzero,8,4936.0101637476,3.6933760452826716,256,124
rational_asymptote_chart,low_nonzero,9,6145.3810951405885,3.7885488200759636,256,124
rational_asymptote_chart,low_nonzero,10,6145.486076331746,3.7885562390402057,256,124
rational_asymptote_chart,low_nonzero,11,7345.094400334272,3.8659973817846565,256,124
rational_asymptote_chart,low_nonzero,12,7345.162029920277,3.866001380510772,256,124
