operator,n_meridian,n_theta,n_nodes,degree,order,eigenvalue,continuum_target,dtn_target,relative_error_to_continuum,relative_error_to_dtn,relative_residual_to_continuum,batch_apply_ms,dense_matrix_stored
inverse_square_control,8,16,128,5,4,2.1568758741659235,2.283333333333333,5.0,0.0553828288324422,0.5686248251668153,0.05947572552583135,1.2656659964704886,False
inverse_square_control,8,16,128,5,5,2.1212297311083272,2.283333333333333,5.0,0.07099427834671795,0.5757540537783346,0.07182000012750002,1.2656659964704886,False
inverse_square_control,8,16,128,6,0,2.1572346836731033,2.45,6.0,0.11949604748036605,0.6404608860544828,0.12396311506833832,1.2656659964704886,False
inverse_square_control,8,16,128,6,1,2.3223194140530703,2.45,6.0,0.052114524876297905,0.6129467643244882,0.10452695599307912,1.2656659964704886,False
inverse_square_control,8,16,128,6,2,2.2740277443903327,2.45,6.0,0.07182541045292548,0.6209953759349446,0.10322046654102719,1.2656659964704886,False
inverse_square_control,8,16,128,6,3,2.3022096959862637,2.45,6.0,0.06032257306683122,0.6162983840022894,0.07468696412667239,1.2656659964704886,False
inverse_square_control,8,16,128,6,4,2.288168610455943,2.45,6.0,0.06605362838532951,0.6186385649240095,0.07464494824876682,1.2656659964704886,False
inverse_square_control,8,16,128,6,5,2.262004126568496,2.45,6.0,0.07673300956387932,0.6229993122385841,0.07927948074784592,1.2656659964704886,False
inverse_square_control,8,16,128,6,6,2.21276365440419,2.45,6.0,0.09683116146767753,0.6312060575993016,0.09732139910929004,1.2656659964704886,False
inverse_cube_raw,8,16,128,1,0,0.8720799168701091,1.0,1.0,0.1279200831298909,0.1279200831298909,0.12798412885010654,1.2606250093085691,False
inverse_cube_raw,8,16,128,1,1,0.9211258437310752,1.0,1.0,0.0788741562689248,0.0788741562689248,0.24437267470825408,1.2606250093085691,False
inverse_cube_raw,8,16,128,2,0,1.6146301701305978,2.0,2.0,0.19268491493470108,0.19268491493470108,0.19310005129922228,1.2606250093085691,False
inverse_cube_raw,8,16,128,2,1,1.7759831504682517,2.0,2.0,0.11200842476587414,0.11200842476587414,0.2711550949894393,1.2606250093085691,False
inverse_cube_raw,8,16,128,2,2,1.6880866604056917,2.0,2.0,0.15595666979715417,0.15595666979715417,0.17965368763303988,1.2606250093085691,False
inverse_cube_raw,8,16,128,3,0,2.2326486769727683,3.0,3.0,0.25578377434241056,0.25578377434241056,0.256305604002566,1.2606250093085691,False
inverse_cube_raw,8,16,128,3,1,2.54693716038789,3.0,3.0,0.15102094653737005,0.15102094653737005,0.3027104422970324,1.2606250093085691,False
inverse_cube_raw,8,16,128,3,2,2.4404072296332973,3.0,3.0,0.18653092345556757,0.18653092345556757,0.2336870025184479,1.2606250093085691,False
inverse_cube_raw,8,16,128,3,3,2.3410172635381046,3.0,3.0,0.21966091215396513,0.21966091215396513,0.22492472432523877,1.2606250093085691,False
inverse_cube_raw,8,16,128,4,0,2.7235752653959686,4.0,4.0,0.31910618365100785,0.31910618365100785,0.31986427631226466,1.2606250093085691,False
inverse_cube_raw,8,16,128,4,1,3.239578105677994,4.0,4.0,0.19010547358050145,0.19010547358050145,0.33239668101051234,1.2606250093085691,False
inverse_cube_raw,8,16,128,4,2,3.0980829055881616,4.0,4.0,0.2254792736029596,0.2254792736029596,0.2956530287208848,1.2606250093085691,False
inverse_cube_raw,8,16,128,4,3,3.015539876524393,4.0,4.0,0.24611503086890174,0.24611503086890174,0.25900681264479236,1.2606250093085691,False
inverse_cube_raw,8,16,128,4,4,2.8736587005015592,4.0,4.0,0.2815853248746102,0.2815853248746102,0.28388626469330625,1.2606250093085691,False
inverse_cube_raw,8,16,128,5,0,3.089135482350127,5.0,5.0,0.3821729035299746,0.3821729035299746,0.3830049978902972,1.2606250093085691,False
inverse_cube_raw,8,16,128,5,1,3.8657687219148023,5.0,5.0,0.22684625561703955,0.22684625561703955,0.35856117261445997,1.2606250093085691,False
inverse_cube_raw,8,16,128,5,2,3.6530795956265427,5.0,5.0,0.26938408087469146,0.26938408087469146,0.362117462884897,1.2606250093085691,False
