shape,target_kind,panels,corner,interior_angle,lambda,trim,local_delta,zeta_weight,h_lambda
star,corner,96,4.0,0.6846964712489774,4.588299758371926,0.1512798591360222,0.1005193893928133,-0.2410472185620165,2.5804784801343726e-05
star,corner,96,5.0,4.341851774494692,0.723560548990739,0.1512798591360222,0.015423064850095841,-0.1816135228676527,0.18899027240859212
star,corner,96,6.0,0.6846964712489774,4.588299758371926,0.1512798591360222,0.10929025559520444,-0.2410472185620165,2.5804784801343726e-05
star,corner,96,7.0,4.341851774494692,0.723560548990739,0.1512798591360222,0.016508451850828,-0.1816135228676527,0.18899027240859212
star,corner,96,8.0,0.6846964712489774,4.588299758371926,0.15127985913602218,0.033816279994225,-0.2410472185620165,2.5804784801343726e-05
star,corner,96,9.0,4.341851774494691,0.7235605489907391,0.15127985913602218,0.00040980397008355193,-0.18161352286765617,0.18899027240859206
star,corner,192,0.0,0.6846964712489774,4.588299758371926,0.1512798591360222,-0.25925653594101594,-0.2410472185620165,2.5804784801343726e-05
star,corner,192,1.0,4.341851774494692,0.723560548990739,0.1512798591360222,0.00030165281412425013,-0.1816135228676527,0.18899027240859212
star,corner,192,2.0,0.6846964712489774,4.588299758371926,0.15127985913602224,0.03630203158932674,-0.2410472185620165,2.5804784801343726e-05
star,corner,192,3.0,4.341851774494692,0.723560548990739,0.1512798591360222,0.01717768727772967,-0.1816135228676527,0.18899027240859212
star,corner,192,4.0,0.6846964712489774,4.588299758371926,0.1512798591360222,0.10051938939281321,-0.2410472185620165,2.5804784801343726e-05
star,corner,192,5.0,4.341851774494692,0.723560548990739,0.1512798591360222,0.015423064850095758,-0.1816135228676527,0.18899027240859212
star,corner,192,6.0,0.6846964712489774,4.588299758371926,0.1512798591360222,0.10929025559520464,-0.2410472185620165,2.5804784801343726e-05
star,corner,192,7.0,4.341851774494692,0.723560548990739,0.1512798591360222,0.01650845185082786,-0.1816135228676527,0.18899027240859212
star,corner,192,8.0,0.6846964712489774,4.588299758371926,0.15127985913602218,0.033816279994224985,-0.2410472185620165,2.5804784801343726e-05
star,corner,192,9.0,4.341851774494691,0.7235605489907391,0.15127985913602218,0.0004098039700835415,-0.18161352286765617,0.18899027240859206
star,edge,24,0.0,0.6846964712489774,4.588299758371926,0.1512798591360222,-0.12508642522487426,-0.2410472185620165,2.5804784801343726e-05
star,edge,24,1.0,4.341851774494692,0.723560548990739,0.1512798591360222,-0.02298989926552028,-0.1816135228676527,0.18899027240859212
star,edge,24,2.0,0.6846964712489774,4.588299758371926,0.15127985913602224,-0.0019876311715559137,-0.2410472185620165,2.5804784801343726e-05
star,edge,24,3.0,4.341851774494692,0.723560548990739,0.1512798591360222,-0.0021343358405113057,-0.1816135228676527,0.18899027240859212
star,edge,24,4.0,0.6846964712489774,4.588299758371926,0.1512798591360222,0.06970357872821939,-0.2410472185620165,2.5804784801343726e-05
star,edge,24,5.0,4.341851774494692,0.723560548990739,0.1512798591360222,0.006351670962741862,-0.1816135228676527,0.18899027240859212
star,edge,24,6.0,0.6846964712489774,4.588299758371926,0.1512798591360222,0.08725102497778817,-0.2410472185620165,2.5804784801343726e-05
star,edge,24,7.0,4.341851774494692,0.723560548990739,0.1512798591360222,0.00517150426519411,-0.1816135228676527,0.18899027240859212
star,edge,24,8.0,0.6846964712489774,4.588299758371926,0.15127985913602218,0.031013542144214562,-0.2410472185620165,2.5804784801343726e-05
star,edge,24,9.0,4.341851774494691,0.7235605489907391,0.15127985913602218,-0.01401707385145047,-0.18161352286765617,0.18899027240859206
star,edge,48,0.0,0.6846964712489774,4.588299758371926,0.1512798591360222,-0.12508642522487426,-0.2410472185620165,2.5804784801343726e-05
star,edge,48,1.0,4.341851774494692,0.723560548990739,0.1512798591360222,-0.02298989926552028,-0.1816135228676527,0.18899027240859212
star,edge,48,2.0,0.6846964712489774,4.588299758371926,0.15127985913602224,-0.0019876311715559137,-0.2410472185620165,2.5804784801343726e-05
star,edge,48,3.0,4.341851774494692,0.723560548990739,0.1512798591360222,-0.0021343358405113057,-0.1816135228676527,0.18899027240859212
star,edge,48,4.0,0.6846964712489774,4.588299758371926,0.1512798591360222,0.06970357872821939,-0.2410472185620165,2.5804784801343726e-05
